ObjectID,Year,Geographic Indentifier,State FIPS Code,County FIPS Code,State Name,County Name,Postal Code,Population,Latitude,Longitude,Near GNIS FID,Near GNIS Distance,GNIS Feature Name,GNIS Feature Class,County Name,x,y
38,2000,01075,01,075,Alabama,Lamar,AL,15904,33.764883,-88.10886,126206,0.00404358633391762,Vernon Post Office,Post Office,Lamar,-88.1088599999999,33.7648830000001
39,2000,01077,01,077,Alabama,Lauderdale,AL,87966,34.866759,-87.608504,84165,0.0100920302362332,Kasmeier Pond,Lake,Lauderdale,-87.608504,34.8667590000001
40,2000,01079,01,079,Alabama,Lawrence,AL,34803,34.547817,-87.27454,99603,0.00355200074603177,Moulton Water Plant,Building,Lawrence,-87.2745399999999,34.5478170000001
41,2000,01081,01,081,Alabama,Lee,AL,115092,32.59172,-85.352521,84558,0.0081899193854639,Lees Lake,Reservoir,Lee,-85.352521,32.5917200000001
42,2000,01083,01,083,Alabama,Limestone,AL,65676,34.821982,-86.954084,103973,0.00931688715881469,Elm Industrial Park,Locale,Limestone,-86.954084,34.821982
43,2000,01085,01,085,Alabama,Lowndes,AL,13473,32.162781,-86.620978,99278,0.0116823104580863,Turners Cemetery,Cemetery,Lowndes,-86.620978,32.1627810000001
44,2000,01087,01,087,Alabama,Macon,AL,24105,32.423496,-85.709518,2196000,0.00406997140284532,Tuskegee Institute Post Office,Post Office,Macon,-85.7095179999999,32.4234960000001
45,2000,01089,01,089,Alabama,Madison,AL,276700,34.743145,-86.605877,108312,0.00340178111582916,The Mall Shopping Center (historical),Locale,Madison,-86.605877,34.743145
46,2000,01091,01,091,Alabama,Marengo,AL,22539,32.339825,-87.803144,2121420,0.0201950046222041,Marengo County Fire and Rescue Squad Station 2,Building,Marengo,-87.803144,32.3398250000001
47,2000,01093,01,093,Alabama,Marion,AL,31214,34.112081,-87.874008,76907,0.0144759890442506,Bee Mountain,Ridge,Marion,-87.8740079999999,34.112081
48,2000,01095,01,095,Alabama,Marshall,AL,82231,34.315395,-86.29678,121471,0.00680549620600025,WGSV-AM (Guntersville),Tower,Marshall,-86.29678,34.315395
49,2000,01097,01,097,Alabama,Mobile,AL,399843,30.686153,-88.159562,105219,0.00209587939776066,Convent of Mercy,Church,Mobile,-88.1595619999999,30.686153
50,2000,01099,01,099,Alabama,Monroe,AL,24324,31.511729,-87.358921,2037665,0.00377524634955123,City of Monroeville Wastewater Treatment Plant,Locale,Monroe,-87.358921,31.5117290000001
51,2000,01101,01,101,Alabama,Montgomery,AL,223510,32.3468,-86.258293,125593,0.0038661657452317,Dannelly Elementary School,School,Montgomery,-86.258293,32.3468
52,2000,01103,01,103,Alabama,Morgan,AL,111064,34.514917,-86.929311,102514,0.00800754671170383,Burningtree Country Club,Locale,Morgan,-86.929311,34.514917
53,2000,01105,01,105,Alabama,Perry,AL,11861,32.582916,-87.368499,91500,0.0026093859450268,Lake Vida,Reservoir,Perry,-87.368499,32.5829160000001
54,2000,01107,01,107,Alabama,Pickens,AL,20949,33.288047,-88.075527,98292,0.00651732454462358,Carloss,Populated Place,Pickens,-88.075527,33.2880470000001
55,2000,01109,01,109,Alabama,Pike,AL,29605,31.784171,-85.942867,102705,0.00203818166517078,Pike Liberal Arts School,School,Pike,-85.942867,31.7841710000001
56,2000,01111,01,111,Alabama,Randolph,AL,22380,33.252236,-85.419539,98645,0.00564147374808037,West,Populated Place,Randolph,-85.419539,33.252236
57,2000,01113,01,113,Alabama,Russell,AL,49756,32.421223,-85.069769,96275,0.00490236039984236,Golden Stream Fishing Club,Locale,Russell,-85.069769,32.4212230000001
58,2000,01115,01,115,Alabama,St. Clair,AL,64742,33.664876,-86.353223,124987,0.008273559249195,Watkins Dam,Dam,St. Clair,-86.353223,33.664876
59,2000,01117,01,117,Alabama,Shelby,AL,143293,33.289711,-86.737308,87621,0.0127067428288746,Peavine Branch,Stream,Shelby,-86.737308,33.2897110000001
60,2000,01119,01,119,Alabama,Sumter,AL,14798,32.566853,-88.234797,97278,0.0171403499077032,Sumter,Locale,Sumter,-88.234797,32.566853
61,2000,01121,01,121,Alabama,Talladega,AL,80321,33.365011,-86.1736,106707,0.011729520365274,Carletons Station (historical),Locale,Talladega,-86.1736,33.365011
62,2000,01123,01,123,Alabama,Tallapoosa,AL,41475,32.857195,-85.862292,100239,0.00989072712089037,Greenbriar,Populated Place,Tallapoosa,-85.862292,32.857195
63,2000,01125,01,125,Alabama,Tuscaloosa,AL,164875,33.212939,-87.524276,2026974,0.00179113394247933,Tuscaloosa Magnet School,School,Tuscaloosa,-87.524276,33.2129390000001
64,2000,01127,01,127,Alabama,Walker,AL,70713,33.830473,-87.251294,103894,0.00899709642048586,Eastside Baptist Church,Church,Walker,-87.251294,33.830473
65,2000,01129,01,129,Alabama,Washington,AL,18097,31.41443,-88.183818,2037675,0.00489641195163597,Washington County C and D Landfill,Locale,Washington,-88.183818,31.41443
66,2000,01131,01,131,Alabama,Wilcox,AL,13183,32.003418,-87.376939,101365,0.00565744414466268,Rock West Church,Church,Wilcox,-87.3769389999999,32.0034180000001
67,2000,01133,01,133,Alabama,Winston,AL,24843,34.165855,-87.423583,121886,0.00904415509873478,Eskridge Lake,Reservoir,Winston,-87.423583,34.1658550000001
68,2000,02013,02,013,Alaska,Aleutians East,AK,2697,54.946483,-162.61706,1284861,0.0399590619351887,Telegraph Hill,Summit,Aleutians East,-162.61706,54.9464830000001
69,2000,02016,02,016,Alaska,Aleutians West,AK,5465,54.116584,-167.8805,2208389,0.203726647469099,East Bogoslof Canyon,Valley,Aleutians West (CA),-167.8805,54.116584
70,2000,02020,02,020,Alaska,Anchorage,AK,260283,61.192041,-149.79667,1703278,0.00711789234607572,North Branch South Fork Chester Creek,Stream,Anchorage,-149.79667,61.1920410000001
71,2000,02050,02,050,Alaska,Bethel,AK,16006,60.700215,-162.11107,1703188,0.017785242359321,Napakiak (historical),Populated Place,Bethel (CA),-162.11107,60.7002150000001
72,2000,02060,02,060,Alaska,Bristol Bay,AK,1258,58.73693,-156.82216,1269261,0.023446268439304,Horseshoe Point,Cape,Bristol Bay,-156.82216,58.73693
73,2000,02068,02,068,Alaska,Denali,AK,1893,63.916042,-149.04636,1283347,0.0231311677217018,Lignite Airport (historical),Airport,Denali,-149.04636,63.9160420000001
74,2000,02070,02,070,Alaska,Dillingham,AK,4922,59.129706,-158.70922,1702399,0.0955167777722996,I-gl-a-rak,Locale,Dillingham (CA),-158.70922,59.1297060000001
75,2000,02090,02,090,Alaska,Fairbanks North Star,AK,82840,64.824277,-147.60464,2142720,0.00710298986061977,Charlie Company Air Ambulance 1st Battalion 52nd Aviation Regiment,Building,Fairbanks North Star,-147.60464,64.8242770000001
76,2000,02100,02,100,Alaska,Haines,AK,2392,59.261152,-135.54531,1281516,0.0172749335121812,Yindastuki Indian Reservation (historical),Civil,Haines,-135.54531,59.261152
77,2000,02110,02,110,Alaska,Juneau,AK,30711,58.357237,-134.52972,1276061,0.00370721361937639,Sunny Point,Cape,Juneau,-134.52972,58.3572370000001
78,2000,02122,02,122,Alaska,Kenai Peninsula,AK,49691,60.286142,-151.05228,1279808,0.0369277214278387,Trail Lake,Lake,Kenai Peninsula,-151.05228,60.286142
79,2000,02130,02,130,Alaska,Ketchikan Gateway,AK,14070,55.36929,-131.67945,1282738,0.00243950873948775,Carlanna Lake Dam,Dam,Ketchikan Gateway,-131.67945,55.36929
80,2000,02150,02,150,Alaska,Kodiak Island,AK,13913,57.777258,-152.47475,1268250,0.0143826165550789,Genivieve Lake,Lake,Kodiak Island,-152.47475,57.7772580000001
81,2000,02164,02,164,Alaska,Lake and Peninsula,AK,1823,58.399128,-156.59134,1285449,0.127871627495475,Lake and Peninsula Borough,Civil,Lake and Peninsula,-156.59134,58.3991280000001
82,2000,02170,02,170,Alaska,Matanuska-Susitna,AK,59322,61.623731,-149.40992,1271929,0.0133861013088086,Memory Lake,Lake,Matanuska-Susitna,-149.40992,61.6237310000001
83,2000,02180,02,180,Alaska,Nome,AK,9196,64.456222,-165.26487,1702234,0.0328011590432466,Gold Hill Gulch,Valley,Nome (CA),-165.26487,64.4562220000001
84,2000,02185,02,185,Alaska,North Slope,AK,7385,70.636549,-157.26821,1277275,0.166179958455861,Usuktuk River,Stream,North Slope,-157.26821,70.6365490000001
85,2000,02188,02,188,Alaska,Northwest Arctic,AK,7208,66.918581,-161.63887,1278629,0.0298359317045665,Ekichuk Lake,Lake,Northwest Arctic,-161.63887,66.9185810000001
86,2000,02201,02,201,Alaska,Prince of Wales-Outer Ketchikan,AK,6146,55.469758,-132.60169,1288862,0.0206051796245721,Loy Island,Island,Prince of Wales-Hyder (CA),-132.60169,55.4697580000001
87,2000,02220,02,220,Alaska,Sitka,AK,8835,57.0631,-135.33673,1285427,0.00459750693855823,KIFW-AM (Sitka),Tower,Sitka,-135.33673,57.0631000000001
88,2000,02232,02,232,Alaska,Skagway-Hoonah-Angoon,AK,3436,58.415975,-135.33448,1938317,0.0432100320538992,Excursion Inlet Census Designated Place,Census,Haines,-135.33448,58.4159750000001
89,2000,02240,02,240,Alaska,Southeast Fairbanks,AK,6174,63.806757,-144.47486,1268263,0.0616501667836214,Lake George,Lake,Southeast Fairbanks (CA),-144.47486,63.8067570000001
90,2000,02261,02,261,Alaska,Valdez-Cordova,AK,10195,61.263245,-145.8585,1276787,0.0482661388596626,Tonsina Glacier,Glacier,Valdez-Cordova (CA),-145.8585,61.263245
91,2000,02270,02,270,Alaska,Wade Hampton,AK,7028,62.111974,-164.28867,1270490,0.1356884626525,Kipniarak River,Stream,Kusilvak (CA),-164.28867,62.111974
92,2000,02280,02,280,Alaska,Wrangell-Petersburg,AK,6684,56.683148,-132.85609,1285985,0.0571063886665218,Blind Island Campground,Locale,Petersburg Borough,-132.85609,56.6831480000001
93,2000,02282,02,282,Alaska,Yakutat,AK,808,59.615859,-140.00929,1694680,0.161932430294244,Schooner Beach,Beach,Yakutat,-140.00929,59.6158590000001
94,2000,02290,02,290,Alaska,Yukon-Koyukuk,AK,6551,64.96626,-152.76546,1264210,0.19875055208781,Atutsak River,Stream,Yukon-Koyukuk (CA),-152.76546,64.96626
95,2000,04001,04,001,Arizona,Apache,AZ,69423,35.645804,-109.41285,7998,0.0259575156309495,Na Des Bah Well,Locale,Apache,-109.41285,35.6458040000001
96,2000,04003,04,003,Arizona,Cochise,AZ,117755,31.610327,-110.04748,2141822,0.00246258487167332,Rancho San Marcos Airport,Airport,Cochise,-110.04748,31.610327
97,2000,04005,04,005,Arizona,Coconino,AZ,116320,35.547513,-111.57459,27637,0.0352541737889199,Red Hill,Summit,Coconino,-111.57459,35.547513
98,2000,04007,04,007,Arizona,Gila,AZ,51335,33.799616,-110.99565,26422,0.0186762826293385,Mystery Spring,Spring,Gila,-110.99565,33.7996160000001
99,2000,04009,04,009,Arizona,Graham,AZ,33489,32.874357,-109.81607,7876,0.0152519116444323,Mud Hollow,Valley,Graham,-109.81607,32.874357
100,2000,04011,04,011,Arizona,Greenlee,AZ,8547,32.960547,-109.24208,27581,0.0141992248443556,Rattlesnake Canyon,Valley,Greenlee,-109.24208,32.9605470000001
101,2000,04012,04,012,Arizona,La Paz,AZ,19715,33.945654,-114.18868,17138,0.0586872599562355,Wall,Locale,La Paz,-114.18868,33.945654
102,2000,04013,04,013,Arizona,Maricopa,AZ,3072149,33.495976,-112.02229,14141,0.0018818870741864,Los Olivos Senior Center,Building,Maricopa,-112.02229,33.495976
103,2000,04015,04,015,Arizona,Mohave,AZ,155032,35.039737,-114.26707,4677,0.022164089622628,Gold Trail Spring,Spring,Mohave,-114.26707,35.0397370000001
104,2000,04017,04,017,Arizona,Navajo,AZ,97470,34.977183,-110.22444,6490,0.0388410280052177,Lee Mountain Tanks,Reservoir,Navajo,-110.22444,34.977183
105,2000,04019,04,019,Arizona,Pima,AZ,843746,32.225677,-110.96034,12306,0.00126473044160993,Tucson Magnet High School,School,Pima,-110.96034,32.2256770000001
106,2000,04021,04,021,Arizona,Pinal,AZ,179727,33.042961,-111.506,37409,0.0121977568314705,KQEZ-FM (Coolidge),Tower,Pinal,-111.506,33.042961
107,2000,04023,04,023,Arizona,Santa Cruz,AZ,38381,31.422354,-110.93798,2186784,0.0138676020497591,Rio Rico Fire District Station 3,Building,Santa Cruz,-110.93798,31.422354
108,2000,04025,04,025,Arizona,Yavapai,AZ,167517,34.62493,-112.25884,36856,0.0263309684994901,Chino Valley (historical),Valley,Yavapai,-112.25884,34.6249300000001
109,2000,04027,04,027,Arizona,Yuma,AZ,160026,32.663265,-114.59044,36751,0.00625633158489632,Yuma Marine Corps Air Station/Yuma International Airport,Airport,Yuma,-114.59044,32.663265
110,2000,05001,05,001,Arkansas,Arkansas,AR,20749,34.40301,-91.459196,75014,0.0141482115003683,Almyra Municipal Airport,Airport,Arkansas,-91.459196,34.4030100000001
111,2000,05003,05,003,Arkansas,Ashley,AR,24209,33.177045,-91.866194,45981,0.00509940206107118,Pinewood Memorial Park,Cemetery,Ashley,-91.866194,33.1770450000001
112,2000,05005,05,005,Arkansas,Baxter,AR,38386,36.332991,-92.382632,61203,0.00227622878027463,Mountain Home Methodist Church (historical),Church,Baxter,-92.3826319999999,36.3329910000001
113,2000,05007,05,007,Arkansas,Benton,AR,153406,36.337502,-94.228754,67507,0.00659616308168146,Osage Prairie,Area,Benton,-94.228754,36.337502
114,2000,05009,05,009,Arkansas,Boone,AR,33948,36.263928,-93.098603,45436,0.00850269525859509,Oak Grove School,School,Boone,-93.098603,36.2639280000001
115,2000,05011,05,011,Arkansas,Bradley,AR,12600,33.562711,-92.104368,75240,0.0227366947389308,Warren Municipal Airport,Airport,Bradley,-92.104368,33.562711
116,2000,05013,05,013,Arkansas,Calhoun,AR,5744,33.590853,-92.489603,55746,0.0164776835001133,Township of Polk (historical),Civil,Calhoun,-92.489603,33.590853
117,2000,05015,05,015,Arkansas,Carroll,AR,25357,36.372427,-93.568801,1924875,0.00211600343341628,City of Berryville,Civil,Carroll,-93.568801,36.3724270000001
118,2000,05017,05,017,Arkansas,Chicot,AR,14117,33.324721,-91.322099,53890,0.00681979757032524,Bayou Macon (historical),Populated Place,Chicot,-91.322099,33.3247210000001
119,2000,05019,05,019,Arkansas,Clark,AR,23546,34.089618,-93.121952,56971,0.0113321877649777,Central,Populated Place,Clark,-93.121952,34.089618
120,2000,05021,05,021,Arkansas,Clay,AR,17609,36.371498,-90.381036,71539,0.00324040298726003,Frie Lake Dam,Dam,Clay,-90.3810359999999,36.371498
121,2000,05023,05,023,Arkansas,Cleburne,AR,24046,35.512308,-92.038432,2192266,0.0124708230883455,Heber Springs Post Office,Post Office,Cleburne,-92.0384319999999,35.5123080000001
122,2000,05025,05,025,Arkansas,Cleveland,AR,8571,33.913456,-92.146001,43693,0.0152968127143879,Lindsey Cemetery,Cemetery,Cleveland,-92.146001,33.9134560000001
123,2000,05027,05,027,Arkansas,Columbia,AR,25603,33.259054,-93.24561,40487,0.00353080382487467,Columbia High School,School,Columbia,-93.2456099999999,33.259054
124,2000,05029,05,029,Arkansas,Conway,AR,20336,35.21191,-92.706081,40532,0.0113545419705212,Cooks Branch,Stream,Conway,-92.706081,35.21191
125,2000,05031,05,031,Arkansas,Craighead,AR,82148,35.834606,-90.665157,73914,0.00389661810417504,Lateral Number 5,Canal,Craighead,-90.665157,35.8346060000001
126,2000,05033,05,033,Arkansas,Crawford,AR,53247,35.496842,-94.282906,49212,0.00936827812197066,Dobbs Cemetery,Cemetery,Crawford,-94.282906,35.4968420000001
127,2000,05035,05,035,Arkansas,Crittenden,AR,50866,35.177923,-90.221065,59618,0.0101712321028122,Missouri Pacific Industrial Park,Locale,Crittenden,-90.221065,35.1779230000001
128,2000,05037,05,037,Arkansas,Cross,AR,19526,35.256341,-90.770807,71396,0.00105696792756602,Hall Lake Dam,Dam,Cross,-90.770807,35.2563410000001
129,2000,05039,05,039,Arkansas,Dallas,AR,9210,33.869653,-92.525697,44343,0.0167390812546322,McDonald Cemetery,Cemetery,Dallas,-92.525697,33.869653
130,2000,05041,05,041,Arkansas,Desha,AR,15341,33.774625,-91.412646,44859,0.0159621980022021,Mount Olive Church,Church,Desha,-91.4126459999999,33.7746250000001
131,2000,05043,05,043,Arkansas,Drew,AR,18723,33.628245,-91.778361,45410,0.00712037135686231,Oak Grove Church,Church,Drew,-91.778361,33.628245
132,2000,05045,05,045,Arkansas,Faulkner,AR,86014,35.104972,-92.403053,1878741,0.00607734381778998,Ray and Phyllis Simon Intermediate School,School,Faulkner,-92.4030529999999,35.104972
133,2000,05047,05,047,Arkansas,Franklin,AR,17771,35.441909,-93.889674,49643,0.0109550438611299,Poping,Populated Place,Franklin,-93.889674,35.4419090000001
134,2000,05049,05,049,Arkansas,Fulton,AR,11642,36.379308,-91.756597,71201,0.0111464463632822,Lake Lewis Dam One,Dam,Fulton,-91.7565969999999,36.379308
135,2000,05051,05,051,Arkansas,Garland,AR,88068,34.50804,-93.07985,56394,0.00530469718647306,Whittington Park,Park,Garland,-93.07985,34.5080400000001
136,2000,05053,05,053,Arkansas,Grant,AR,16464,34.307144,-92.412275,52876,0.00641657691375101,Sheridan High School,School,Grant,-92.412275,34.3071440000001
137,2000,05055,05,055,Arkansas,Greene,AR,37331,36.076562,-90.522811,56897,0.00485464345543811,Reynolds Park,Park,Greene,-90.522811,36.076562
138,2000,05057,05,057,Arkansas,Hempstead,AR,23587,33.700517,-93.624328,46576,0.0215467311915361,Hanegan Robinson Cemetery,Cemetery,Hempstead,-93.624328,33.700517
139,2000,05059,05,059,Arkansas,Hot Spring,AR,30353,34.354001,-92.890833,43919,0.00690695395959317,Lone Hill Cemetery,Cemetery,Hot Spring,-92.890833,34.354001
140,2000,05061,05,061,Arkansas,Howard,AR,14300,33.981031,-93.912183,54814,0.00680300582979542,University of Arkansas Peach Experiment Station,Locale,Howard,-93.912183,33.981031
141,2000,05063,05,063,Arkansas,Independence,AR,34233,35.748,-91.609343,1812988,0.0108420346324246,Eagle Mountain Elementary School,School,Independence,-91.609343,35.748
142,2000,05065,05,065,Arkansas,Izard,AR,13249,36.123787,-91.908597,40248,0.0142842002145678,Chapel Hill Church,Church,Izard,-91.908597,36.1237870000001
143,2000,05067,05,067,Arkansas,Jackson,AR,18418,35.621544,-91.242807,1877099,0.0096053127325309,Newport Fire Department Ambulance,Building,Jackson,-91.242807,35.621544
144,2000,05069,05,069,Arkansas,Jefferson,AR,84278,34.231899,-92.035952,45472,0.00240696965083044,Oakland Church,Church,Jefferson,-92.035952,34.2318990000001
145,2000,05071,05,071,Arkansas,Johnson,AR,22781,35.475522,-93.475226,58767,0.00247161858306792,Township of Spadra,Civil,Johnson,-93.475226,35.4755220000001
146,2000,05073,05,073,Arkansas,Lafayette,AR,8559,33.294097,-93.550847,47679,0.00784207717000555,Steel Creek,Stream,Lafayette,-93.550847,33.2940970000001
147,2000,05075,05,075,Arkansas,Lawrence,AR,17774,36.068145,-91.062072,40758,0.00474891855057759,Crossroad Cemetery,Cemetery,Lawrence,-91.0620719999999,36.0681450000001
148,2000,05077,05,077,Arkansas,Lee,AR,12580,34.785481,-90.772871,51765,0.00657093254417403,Marianna Country Club,Locale,Lee,-90.772871,34.7854810000001
149,2000,05079,05,079,Arkansas,Lincoln,AR,14492,33.982624,-91.755165,44860,0.0199885871086601,Mount Olive Church,Church,Lincoln,-91.755165,33.982624
150,2000,05081,05,081,Arkansas,Little River,AR,13628,33.698967,-94.197333,52411,0.014360649193197,Oak Grove,Populated Place,Little River,-94.197333,33.698967
151,2000,05083,05,083,Arkansas,Logan,AR,22486,35.227283,-93.769652,63187,0.00960284416667892,Driggs,Populated Place,Logan,-93.769652,35.2272830000001
152,2000,05085,05,085,Arkansas,Lonoke,AR,52828,34.882218,-91.962568,41988,0.00615736459211579,Glover Cemetery,Cemetery,Lonoke,-91.962568,34.8822180000001
153,2000,05087,05,087,Arkansas,Madison,AR,14243,36.052002,-93.754229,75121,0.0263952563382006,Huntsville Municipal Airport,Airport,Madison,-93.754229,36.0520020000001
154,2000,05089,05,089,Arkansas,Marion,AR,16140,36.282392,-92.664406,43576,0.00712846758568698,Lee Mountain,Summit,Marion,-92.664406,36.2823920000001
155,2000,05091,05,091,Arkansas,Miller,AR,40443,33.399824,-93.986739,75229,0.00503047940554078,Macks Airport (historical),Airport,Miller,-93.9867389999999,33.399824
156,2000,05093,05,093,Arkansas,Mississippi,AR,51979,35.840346,-89.994573,49448,0.00531114699948968,Cole Ridge,Populated Place,Mississippi,-89.9945729999999,35.8403460000001
157,2000,05095,05,095,Arkansas,Monroe,AR,10254,34.773206,-91.216396,60677,0.0208228938973388,Township of Keevil,Civil,Monroe,-91.216396,34.7732060000001
158,2000,05097,05,097,Arkansas,Montgomery,AR,9245,34.518934,-93.625655,65911,0.016724907134538,Williams Creek,Stream,Montgomery,-93.6256549999999,34.5189340000001
159,2000,05099,05,099,Arkansas,Nevada,AR,9955,33.718145,-93.353947,48329,0.0203267743385508,United Church,Church,Nevada,-93.3539469999999,33.7181450000001
160,2000,05101,05,101,Arkansas,Newton,AR,8608,35.980112,-93.175948,65163,0.00846787305169381,Round Mountain,Summit,Newton,-93.1759479999999,35.9801120000001
161,2000,05103,05,103,Arkansas,Ouachita,AR,28790,33.574107,-92.839362,56402,0.00288060696553075,Camden Plaza Shopping Center,Locale,Ouachita,-92.8393619999999,33.574107
